
2024-10-10 15:22:32.525285 - wxschik (7257991755): Ну в 7 буду выезжать если что - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.527080 - wxschik (7257991755): Поедем завтра на бадалыкское кладбище - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.527328 - skodaracing24 (556943853): Нахуя - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.528199 - wxschik (7257991755): Да так от нехуй делать - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.528199 - skodaracing24 (556943853): а нормально ебать - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.529043 - GroupAnonymousBot (1087968824): ага, пирожок ебать - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.530216 - GroupAnonymousBot (1087968824): завтра да - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.530216 - wxschik (7257991755): Нет - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.531402 - skodaracing24 (556943853): Есть - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.531402 - wxschik (7257991755): У него все дома - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.532654 - wxschik (7257991755): Давайте давайте отфутбольте меня еще - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.533355 - skodaracing24 (556943853): Так бы вопрос не стоял - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.534855 - skodaracing24 (556943853): Ахахаххаа - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.536362 - skodaracing24 (556943853): Нихуя когда - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.537895 - wxschik (7257991755): Чтоб я сразу в Абан ехал - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.539155 - wxschik (7257991755): Проверить все ли у тебя в порядке дома - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.539508 - skodaracing24 (556943853): Бля че то хуйня какая то пошла - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.540677 - skodaracing24 (556943853): Ну пока все заебись - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.541276 - skodaracing24 (556943853): Так у тебя батя же был - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.541980 - skodaracing24 (556943853): Че за прикол - Type: Text  |  ChatID: -1002124483077


