
2024-10-10 18:17:53.390994 - verdise (6751720805): /send -1001552311087 Блять, хули студенты, такие умные. Иди-ка ты нахуй прогульщик ебанный. Я тебя к экзамену не допущу. - Type: Command  |  ChatID: 6751720805


2024-10-10 18:20:32.573665 - verdise (6751720805): /send -1001552311087 Смеяться будешь по вторникам. А завтра ко мне с докладом, сучка - Type: Command  |  ChatID: 6751720805


2024-10-10 18:22:26.950406 - verdise (6751720805): Primo help - Type: Text  |  ChatID: 6751720805


2024-10-10 18:22:32.774156 - verdise (6751720805): Primohelp - Type: Text  |  ChatID: 6751720805


2024-10-10 18:22:42.009364 - verdise (6751720805): Primostart - Type: Text  |  ChatID: 6751720805


2024-10-10 18:24:30.482090 - verdise (6751720805): /send@PrimoTesterBot -1001552311087 Степа шлюшка - Type: Command  |  ChatID: 6751720805


2024-10-10 20:00:01.433354 - verdise (6751720805): п - Type: Text  |  ChatID: 6751720805


2024-10-10 20:02:07.481180 - verdise (6751720805): f - Type: Text  |  ChatID: 6751720805


2024-10-10 20:09:43.270103 - verdise (6751720805): secret - Type: Text  |  ChatID: 6751720805


2024-10-10 20:10:29.477026 - verdise (6751720805): secret - Type: Text  |  ChatID: 6751720805


2024-10-10 20:10:31.204245 - verdise (6751720805): финикх - Type: Text  |  ChatID: 6751720805


2024-10-10 20:22:25.603212 - verdise (6751720805): /send 1851081467 Помоги.. Он держит меня в заложниках.. Я больше не могу.. Не верь ему... Лейн, ужасный. - Type: Command  |  ChatID: 6751720805

